dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.3,0.01,add_noise,128,90.19021739130434,89.57654723127035,90.21739130434783,89.68512486427795,90.16304347826087,89.25081433224756,90.51630434782608,89.25081433224756,90.89673913043478,90.33659066232356
spambase,0.3,0.1,add_noise,128,90.13586956521739,89.57654723127035,90.19021739130434,89.57654723127035,90.16304347826087,89.25081433224756,90.48913043478261,89.25081433224756,90.8695652173913,90.33659066232356
spambase,0.3,1.0,add_noise,128,90.21739130434783,89.79370249728555,90.19021739130434,89.57654723127035,90.13586956521739,89.25081433224756,90.46195652173913,89.25081433224756,90.8695652173913,90.44516829533116
spambase,0.3,10.0,add_noise,128,89.97282608695653,90.55374592833876,90.19021739130434,89.68512486427795,90.1086956521739,89.25081433224756,90.35326086956522,89.35939196525516,90.78804347826087,90.33659066232356
spambase,0.3,100.0,add_noise,128,84.02173913043478,84.03908794788273,90.16304347826087,89.68512486427795,90.19021739130434,89.25081433224756,90.3804347826087,89.57654723127035,90.84239130434783,90.44516829533116
spambase,0.3,200.0,add_noise,128,83.64130434782608,81.65038002171553,90.21739130434783,89.57654723127035,90.16304347826087,89.25081433224756,90.46195652173913,89.25081433224756,90.81521739130434,90.44516829533116
spambase,0.3,0.0,ipm_attack,16,90.35326086956522,90.01085776330075,90.97826086956522,90.22801302931596,86.84782608695653,86.86210640608036,52.41847826086956,49.9457111834962,88.94021739130434,88.70792616720955
spambase,0.3,0.0,ipm_attack,32,90.29891304347825,89.57654723127035,90.40760869565217,90.01085776330075,88.23369565217392,88.49077090119435,68.85869565217392,67.42671009771986,89.02173913043478,89.03365906623235
spambase,0.3,0.0,ipm_attack,64,89.7554347826087,88.81650380021715,90.40760869565217,89.79370249728555,88.75,88.27361563517914,84.51086956521739,83.60477741585234,90.13586956521739,88.70792616720955
spambase,0.3,0.0,ipm_attack,128,88.96739130434783,88.27361563517914,90.16304347826087,89.57654723127035,88.58695652173914,88.38219326818675,88.125,88.49077090119435,89.78260869565217,88.59934853420195
spambase,0.4,0.01,add_noise,16,91.0054347826087,90.44516829533116,90.95108695652175,90.22801302931596,91.0054347826087,90.33659066232356,91.05978260869566,90.77090119435395,92.47282608695652,92.07383279044517
spambase,0.4,0.1,add_noise,16,90.97826086956522,90.33659066232356,90.92391304347827,90.22801302931596,91.08695652173913,90.44516829533116,91.11413043478261,90.66232356134635,92.20108695652173,91.85667752442997
spambase,0.4,1.0,add_noise,16,91.25,90.11943539630836,90.95108695652175,90.22801302931596,91.03260869565217,90.33659066232356,91.1413043478261,90.44516829533116,92.25543478260869,91.96525515743757
spambase,0.4,10.0,add_noise,16,91.11413043478261,89.79370249728555,90.95108695652175,90.22801302931596,91.03260869565217,90.33659066232356,91.1413043478261,90.87947882736157,92.25543478260869,92.07383279044517
spambase,0.4,100.0,add_noise,16,86.33152173913044,85.23344191096635,90.95108695652175,90.22801302931596,91.0054347826087,90.22801302931596,91.1413043478261,90.44516829533116,92.25543478260869,92.07383279044517
