dataset	byzantine_fraction	noise_variance	attack_mode	samples_per_node	accuracy_type	accuracy	Aggregation Method
mnist	0.2	0.01	add_noise	64	noisy_train_accuracy	90.79666666666668	mean with noise
mnist	0.2	0.1	add_noise	64	noisy_train_accuracy	90.79	mean with noise
mnist	0.2	1.0	add_noise	64	noisy_train_accuracy	90.37833333333334	mean with noise
mnist	0.2	10.0	add_noise	64	noisy_train_accuracy	87.4	mean with noise
mnist	0.2	100.0	add_noise	64	noisy_train_accuracy	77.71666666666667	mean with noise
mnist	0.2	200.0	add_noise	64	noisy_train_accuracy	75.11	mean with noise
mnist	0.2	0.01	add_noise	128	noisy_train_accuracy	89.92999999999999	mean with noise
mnist	0.2	0.1	add_noise	128	noisy_train_accuracy	89.94333333333333	mean with noise
mnist	0.2	1.0	add_noise	128	noisy_train_accuracy	89.68833333333333	mean with noise
mnist	0.2	10.0	add_noise	128	noisy_train_accuracy	86.85666666666667	mean with noise
mnist	0.2	100.0	add_noise	128	noisy_train_accuracy	75.44	mean with noise
mnist	0.2	200.0	add_noise	128	noisy_train_accuracy	70.47833333333332	mean with noise
mnist	0.3	0.01	add_noise	16	noisy_train_accuracy	92.04666666666668	mean with noise
mnist	0.3	0.1	add_noise	16	noisy_train_accuracy	91.92833333333331	mean with noise
mnist	0.3	1.0	add_noise	16	noisy_train_accuracy	91.265	mean with noise
mnist	0.3	10.0	add_noise	16	noisy_train_accuracy	86.60333333333334	mean with noise
mnist	0.3	100.0	add_noise	16	noisy_train_accuracy	79.245	mean with noise
mnist	0.3	200.0	add_noise	16	noisy_train_accuracy	75.10166666666666	mean with noise
mnist	0.3	0.01	add_noise	32	noisy_train_accuracy	91.47	mean with noise
mnist	0.3	0.1	add_noise	32	noisy_train_accuracy	91.43666666666668	mean with noise
mnist	0.3	1.0	add_noise	32	noisy_train_accuracy	90.71166666666667	mean with noise
mnist	0.3	10.0	add_noise	32	noisy_train_accuracy	86.43166666666666	mean with noise
mnist	0.3	100.0	add_noise	32	noisy_train_accuracy	76.87166666666667	mean with noise
mnist	0.3	200.0	add_noise	32	noisy_train_accuracy	74.72333333333333	mean with noise
mnist	0.3	0.01	add_noise	64	noisy_train_accuracy	90.805	mean with noise
mnist	0.3	0.1	add_noise	64	noisy_train_accuracy	90.77333333333333	mean with noise
mnist	0.3	1.0	add_noise	64	noisy_train_accuracy	90.28166666666668	mean with noise
